,alarm clock,apple,apple sliced,arm chair,baseball bat,basket ball,bathtub,bathtub basin,bed,book,bowl,box,bread,bread sliced,butter knife,c d,cabinet,candle,cart,cell phone,cloth,coffee machine,coffee table,counter top,credit card,cup,desk,desk lamp,dining table,dish sponge,drawer,dresser,egg,faucet,floor lamp,fork,fridge,garbage can,glassbottle,hand towel,hand towel holder,house plant,kettle,key chain,knife,ladle,laptop,laundry hamper,laundry hamper lid,lettuce,lettuce sliced,light switch,microwave,mug,newspaper,ottoman,painting hanger,pan,paper towel,paper towel roll,pen,pencil,pepper shaker,pillow,plate,plunger,pot,potato,potato sliced,remote control,safe,salt shaker,scrub brush,shelf,shower door,side table,sink,sink basin,soap bar,soap bottle,sofa,spatula,spoon,spray bottle,statue,stove burner,stove knob,t v stand,teddy bear,television,tennis racket,tissue box,toaster,toilet,toilet paper,toilet paper hanger,toilet paper roll,tomato,tomato sliced,towel,towel holder,vase,watch,watering can,wine bottle
alarm clock, 95,0,0,0,0,0,1,0,72,17,1,7,0,0,0,0,10,1,0,2,0,0,1,0,0,3,13,1,0,0,15,9,0,1,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,1,1,0,1,0,1,0,0,4,0,0,55,2,0,1,0,0,7,0,0,0,17,0,6,1,0,0,0,3,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,2,0,4,1,0,0
apple, 0,824,0,1,0,0,1,0,10,24,169,95,30,0,0,0,31,9,6,10,26,0,3,12,0,56,45,1,0,0,11,2,11,8,0,28,17,2,0,0,0,0,3,1,56,2,62,0,0,24,0,6,11,17,3,0,0,14,3,0,11,1,2,10,127,0,22,18,0,1,0,4,0,48,0,0,20,0,0,0,4,3,31,1,0,0,0,0,3,3,1,0,7,4,0,0,0,24,0,19,0,19,7,1,0
apple sliced, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm chair, 0,1,0,42,0,0,0,0,10,4,4,2,0,0,0,0,1,4,0,1,1,0,7,0,0,2,5,1,0,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0,13,2,0,2,0,0,1,0,0,0,3,0,2,1,0,0,0,9,0,0,0,3,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
baseball bat, 0,0,0,0,476,0,0,0,0,3,0,20,0,0,0,0,1,0,0,0,3,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,101,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0
basket ball, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathtub, 1,1,0,0,0,0,509,0,14,5,45,31,0,0,0,0,91,18,0,1,16,0,0,22,1,22,1,0,0,0,29,4,0,255,0,0,0,9,0,12,0,0,0,0,4,0,3,0,0,0,0,16,0,0,1,1,0,2,0,0,0,1,0,11,7,6,11,0,0,1,0,0,3,85,27,1,313,9,0,3,0,0,1,0,7,0,0,0,2,6,0,12,0,315,91,0,4,0,0,241,11,19,2,0,1
bathtub basin, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed, 72,10,0,10,0,0,14,0,2776,271,49,161,7,0,1,0,143,41,10,32,107,0,21,2,0,82,253,10,0,0,249,269,2,19,19,3,16,9,0,0,0,2,5,2,8,2,204,1,0,3,0,58,12,26,10,29,0,4,1,0,25,1,0,1457,60,0,42,0,0,55,1,0,0,216,1,64,48,1,0,0,77,1,2,1,25,0,0,0,114,118,4,13,2,24,6,0,0,1,0,120,0,86,39,1,4
book, 17,24,0,4,3,0,5,0,271,1827,102,200,26,0,3,0,107,46,7,70,53,1,82,15,0,173,346,13,4,0,89,52,4,17,13,28,22,8,0,0,0,3,10,3,38,3,256,0,0,9,0,17,28,68,23,27,0,11,1,1,115,18,5,297,118,2,76,3,0,34,1,6,0,430,1,21,30,0,1,0,121,6,30,2,33,1,0,0,51,132,1,7,3,26,4,0,1,11,0,52,0,126,56,1,6
bowl, 1,169,0,4,0,0,45,0,49,102,3778,273,383,0,26,0,343,121,22,40,190,2,42,108,0,665,61,0,19,1,141,27,78,249,8,478,105,23,0,12,0,2,66,1,416,28,76,0,0,183,0,36,134,177,39,16,0,224,25,0,41,6,27,117,1465,12,371,51,0,13,0,57,4,351,4,10,369,2,2,6,64,61,676,5,32,2,0,0,18,59,1,10,34,363,85,0,4,194,0,244,6,241,91,4,34
box, 7,95,0,2,20,0,31,0,161,200,273,4160,85,0,4,0,257,64,79,56,132,3,38,48,0,314,276,6,6,0,145,51,15,152,7,65,106,37,0,7,0,4,23,2,101,2,195,1,0,38,0,40,84,78,30,16,0,65,23,2,84,15,7,169,369,7,168,13,0,42,2,9,0,495,4,17,238,2,3,4,89,21,71,5,44,0,1,0,67,129,19,53,30,198,67,0,3,74,0,187,2,110,95,5,11
bread, 0,30,0,0,0,0,0,0,7,26,383,85,1529,0,24,0,29,27,12,17,86,1,0,26,0,309,9,0,8,0,14,0,83,8,0,287,21,4,0,1,0,0,13,1,268,5,14,0,0,292,0,4,12,83,8,1,0,56,5,0,9,2,14,8,969,0,49,34,0,1,0,29,0,56,0,3,24,0,0,1,3,11,203,0,3,0,0,0,3,2,0,1,7,0,1,0,0,237,0,29,0,30,33,0,11
bread sliced, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter knife, 0,0,0,0,0,0,0,0,1,3,26,4,24,0,99,0,0,5,1,4,2,0,0,3,0,27,0,0,0,0,0,0,17,0,0,56,0,0,0,0,0,0,0,0,63,0,0,0,0,5,0,0,0,10,2,0,0,6,1,0,0,0,4,1,80,0,3,5,0,0,0,6,0,2,0,0,1,0,0,0,0,3,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,5,4,0,1
c d, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet, 10,31,0,1,1,0,91,0,143,107,343,257,29,0,0,0,2406,75,17,16,75,5,49,205,0,214,173,3,14,2,506,79,7,507,12,19,263,33,0,21,0,1,106,0,65,9,90,0,0,6,0,102,380,75,12,21,0,95,33,4,30,6,5,168,205,4,268,1,0,17,2,7,2,499,19,14,792,11,3,13,109,23,55,9,32,2,1,0,16,176,0,12,77,272,86,0,4,6,0,395,20,205,42,4,25
candle, 1,9,0,4,0,0,18,0,41,46,121,64,27,0,5,0,75,831,1,10,43,0,38,12,0,110,39,0,6,0,27,17,6,37,5,75,9,2,0,4,0,1,7,0,85,3,29,0,0,7,0,13,10,27,4,15,0,18,0,0,7,1,5,88,255,1,45,5,0,13,0,11,0,93,2,10,56,1,0,2,52,3,60,0,24,0,0,0,8,39,0,7,4,38,16,0,0,9,0,51,1,132,37,1,10
cart, 0,6,0,0,0,0,0,0,10,7,22,79,12,0,1,0,17,1,999,5,26,0,0,1,0,20,21,0,2,0,6,0,0,5,0,2,12,7,0,1,0,0,4,0,5,0,7,0,0,1,0,4,11,3,4,0,0,9,0,0,3,0,0,7,27,0,32,1,0,1,0,0,0,59,0,0,14,0,0,0,4,0,3,0,18,0,0,0,9,9,6,1,2,8,4,0,0,0,0,13,0,10,19,1,0
cell phone, 2,10,0,1,0,0,1,0,32,70,40,56,17,0,4,0,16,10,5,1253,25,0,9,8,0,105,97,5,1,0,11,4,3,3,3,27,1,2,0,1,0,0,2,6,30,0,121,0,0,3,0,4,3,24,15,1,0,9,1,0,44,5,5,39,97,0,21,0,0,17,1,6,0,43,0,0,9,0,0,0,18,2,26,0,11,0,0,0,2,13,6,3,2,2,2,0,0,8,0,17,1,10,108,0,1
cloth, 0,26,0,1,3,0,16,0,107,53,190,132,86,0,2,0,75,43,26,25,1688,1,13,18,0,115,45,2,6,0,26,14,15,43,4,113,19,8,0,4,0,0,19,1,127,2,58,0,0,38,0,6,23,30,8,7,0,47,6,0,24,5,4,109,350,1,85,13,0,5,0,10,0,109,3,5,65,0,0,0,43,19,83,1,17,0,0,0,39,32,8,5,1,38,11,0,0,43,0,139,1,91,48,0,9
coffee machine, 0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,5,0,0,0,1,17,1,3,0,4,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
coffee table, 1,3,0,7,1,0,0,0,21,82,42,38,0,0,0,0,49,38,0,9,13,1,484,0,0,35,34,1,11,0,10,12,0,2,37,4,6,1,0,0,0,3,1,0,2,0,56,0,0,0,0,14,7,11,10,35,0,0,0,0,6,0,0,224,26,0,40,0,0,42,0,0,0,92,0,27,3,0,0,0,217,0,2,2,9,0,0,0,1,127,0,0,1,0,0,0,0,0,0,4,0,104,10,0,0
counter top, 0,12,0,0,0,0,22,0,2,15,108,48,26,0,3,0,205,12,1,8,18,3,0,630,0,65,16,0,5,0,96,4,6,159,1,13,71,5,0,3,0,1,30,0,45,6,16,0,0,11,0,27,85,25,0,2,0,40,14,0,5,1,6,10,95,0,67,7,0,2,0,10,3,77,5,0,236,7,3,3,6,16,35,3,5,2,0,0,1,7,0,8,31,57,22,0,0,8,0,98,5,45,12,2,10
credit card, 0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cup, 3,56,0,2,5,0,22,0,82,173,665,314,309,0,27,0,214,110,20,105,115,4,35,65,0,3662,343,10,14,0,90,20,94,167,3,498,50,17,0,5,0,3,62,2,393,7,336,1,0,117,0,20,86,516,47,15,0,94,19,1,124,30,39,113,1365,1,183,28,0,31,0,57,4,295,4,9,255,5,3,4,66,39,428,6,16,0,0,0,33,68,3,20,34,84,40,0,1,133,0,156,5,168,157,6,25
desk, 13,45,0,5,1,0,1,0,253,346,61,276,9,0,0,0,173,39,21,97,45,0,34,16,1,343,2354,46,1,0,193,72,1,10,12,18,27,19,0,0,0,3,5,9,14,1,861,1,0,5,0,21,20,180,23,18,0,5,2,0,246,49,1,213,89,0,71,2,0,51,3,2,0,376,0,11,24,1,0,0,69,3,16,5,28,0,0,0,28,134,0,17,3,9,2,0,0,2,0,34,0,94,69,0,7
desk lamp, 1,1,0,1,0,0,0,0,10,13,0,6,0,0,0,0,3,0,0,5,2,0,1,0,0,10,46,64,0,0,8,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,1,0,0,0,0,8,0,0,12,1,0,0,0,0,8,0,0,0,10,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0
dining table, 0,0,0,0,0,0,0,0,0,4,19,6,8,0,0,0,14,6,2,1,6,0,11,5,0,14,1,0,90,0,2,0,4,4,1,11,4,1,0,0,0,0,5,1,8,0,6,0,0,1,0,2,3,5,2,2,0,2,3,0,0,0,2,7,30,0,14,0,0,0,0,6,0,10,0,2,7,1,0,0,9,0,10,0,0,0,0,0,1,10,0,0,2,0,0,0,0,2,0,3,0,19,4,0,1
dish sponge, 0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
drawer, 15,11,0,1,0,0,29,0,249,89,141,145,14,0,0,0,506,27,6,11,26,2,10,96,0,90,193,8,2,1,1288,146,3,184,5,7,140,12,0,13,0,0,46,0,38,5,78,0,0,5,0,48,152,29,3,2,0,51,15,0,29,3,5,172,83,1,122,2,0,15,0,6,1,259,10,11,293,6,0,3,29,12,26,2,11,1,0,0,16,73,0,5,27,76,31,0,0,4,0,197,8,90,19,1,12
dresser, 9,2,0,3,0,0,4,0,269,52,27,51,0,0,0,0,79,17,0,4,14,0,12,4,0,20,72,3,0,0,146,459,0,4,9,2,8,2,0,0,0,0,0,0,2,0,27,1,0,0,0,15,5,4,4,6,0,2,0,0,2,0,0,157,14,0,15,0,0,8,0,0,0,67,1,11,10,0,0,0,35,0,1,0,12,0,0,0,14,60,0,5,2,10,3,0,0,1,0,20,1,42,4,0,1
egg, 0,11,0,0,0,0,0,0,2,4,78,15,83,0,17,0,7,6,0,3,15,0,0,6,0,94,1,0,4,0,3,0,345,0,0,111,7,0,0,0,0,0,2,0,91,1,2,0,0,17,0,1,9,32,5,1,0,15,2,0,3,0,6,0,253,0,10,14,0,0,0,12,0,14,0,0,0,0,0,0,1,3,49,0,2,0,0,0,1,0,0,0,1,0,0,0,0,56,0,5,0,9,4,0,3
faucet, 1,8,0,1,0,0,255,0,19,17,249,152,8,0,0,0,507,37,5,3,43,3,2,159,0,167,10,0,4,1,184,4,0,1794,0,3,83,32,0,33,0,1,39,0,37,3,7,0,0,7,0,88,131,33,5,1,0,41,26,1,6,0,4,17,89,16,114,0,0,2,1,7,11,348,41,2,1548,19,8,21,8,5,23,9,10,1,0,0,2,17,0,42,34,639,209,0,8,3,0,568,32,99,15,3,5
floor lamp, 2,0,0,3,0,0,0,0,19,13,8,7,0,0,0,0,12,5,0,3,4,0,37,1,0,3,12,1,1,0,5,9,0,0,122,1,3,0,0,0,0,0,1,0,1,0,8,0,0,0,0,4,3,1,0,8,0,0,1,0,0,0,0,45,3,0,9,0,0,10,0,0,0,29,0,9,0,0,0,0,32,0,1,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0
fork, 0,28,0,0,0,0,0,0,3,28,478,65,287,0,56,0,19,75,2,27,113,0,4,13,0,498,18,0,11,0,7,2,111,3,1,2058,6,1,0,0,0,0,9,0,813,2,25,0,0,163,0,4,4,134,18,0,0,88,11,0,13,1,41,8,1719,0,47,58,0,3,0,59,0,30,0,2,10,0,0,0,8,34,404,1,2,0,0,0,5,8,1,0,1,1,0,0,0,184,0,25,0,60,80,0,24
fridge, 2,17,0,0,0,0,0,0,16,22,105,106,21,0,0,0,263,9,12,1,19,2,6,71,0,50,27,1,4,1,140,8,7,83,3,6,767,6,0,5,0,1,42,0,15,0,15,0,0,5,0,26,162,20,6,2,0,33,16,1,4,2,2,18,65,0,81,0,0,1,0,6,0,201,0,2,154,1,0,1,5,8,12,2,4,1,0,0,1,10,0,1,38,4,0,0,0,1,0,86,2,39,11,0,16
garbage can, 0,2,0,0,3,0,9,0,9,8,23,37,4,0,0,0,33,2,7,2,8,0,1,5,0,17,19,1,1,0,12,2,0,32,0,1,6,455,0,2,0,0,0,0,4,1,15,0,0,1,0,6,11,2,2,0,0,4,0,0,4,0,1,12,16,4,12,1,0,1,0,1,0,25,3,1,55,0,0,1,5,0,4,1,7,0,0,0,5,2,8,4,5,66,31,0,3,1,0,37,2,8,11,0,0
glassbottle, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand towel, 0,0,0,0,0,0,12,0,0,0,12,7,1,0,0,0,21,4,1,1,4,0,0,3,0,5,0,0,0,0,13,0,0,33,0,0,5,2,0,78,0,1,5,0,0,0,1,0,0,0,0,4,12,0,0,1,0,1,1,1,0,0,0,1,1,0,11,1,0,0,0,0,0,24,7,0,53,2,0,3,0,0,1,0,0,0,0,0,1,2,0,3,4,27,12,0,1,0,0,57,5,1,2,0,1
hand towel holder, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house plant, 0,0,0,0,0,0,0,0,2,3,2,4,0,0,0,0,1,1,0,0,0,0,3,1,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,18,0,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,2,2,0,4,0,0,1,0,0,0,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2
kettle, 0,3,0,0,0,0,0,0,5,10,66,23,13,0,0,0,106,7,4,2,19,0,1,30,0,62,5,0,5,0,46,0,2,39,1,9,42,0,0,5,0,0,300,0,26,3,5,0,0,2,0,7,62,18,3,0,0,54,4,0,4,0,2,7,59,0,104,0,0,0,0,1,0,54,1,0,74,0,0,0,3,9,23,4,4,1,0,0,2,5,1,0,28,0,0,0,0,3,0,64,1,27,4,2,4
key chain, 0,1,0,0,0,0,0,0,2,3,1,2,1,0,0,0,0,0,0,6,1,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
knife, 0,56,0,0,1,0,4,0,8,38,416,101,268,0,63,0,65,85,5,30,127,1,2,45,0,393,14,0,8,0,38,2,91,37,1,813,15,4,0,0,0,1,26,0,1963,5,19,0,0,103,0,5,43,140,19,0,0,103,15,0,19,2,29,21,1209,0,72,45,0,2,0,45,1,61,0,3,65,0,0,0,7,49,324,1,4,1,0,0,5,8,0,2,10,2,3,0,0,131,0,78,1,51,94,0,26
ladle, 0,2,0,0,0,0,0,0,2,3,28,2,5,0,0,0,9,3,0,0,2,0,0,6,0,7,1,0,0,0,5,0,1,3,0,2,0,1,0,0,0,0,3,0,5,56,2,0,0,0,0,0,2,4,0,0,0,21,1,0,2,0,0,1,20,0,20,2,0,0,0,1,0,6,0,0,5,0,0,0,1,6,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0
laptop, 4,62,0,2,1,0,3,0,204,256,76,195,14,0,0,0,90,29,7,121,58,1,56,16,0,336,861,19,6,0,78,27,2,7,8,25,15,15,0,1,0,3,5,6,19,2,2299,1,0,7,0,23,20,113,25,13,0,5,1,0,184,37,2,235,84,0,68,0,0,45,1,6,0,257,0,12,16,0,0,0,124,4,25,2,7,1,0,0,13,97,1,12,9,8,5,0,0,6,0,37,0,58,90,0,6
laundry hamper, 0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laundry hamper lid, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lettuce, 0,24,0,0,0,0,0,0,3,9,183,38,292,0,5,0,6,7,1,3,38,0,0,11,0,117,5,0,1,0,5,0,17,7,0,163,5,1,0,0,0,0,2,0,103,0,7,0,0,739,0,0,4,20,7,0,0,16,4,0,4,0,2,2,438,0,13,19,0,1,0,4,0,10,0,0,13,0,0,0,1,2,84,0,1,0,0,0,0,1,1,1,2,0,0,0,0,220,0,15,0,7,7,0,2
