,alarm clock,apple,apple sliced,arm chair,baseball bat,basket ball,bathtub,bathtub basin,bed,book,bowl,box,bread,bread sliced,butter knife,c d,cabinet,candle,cart,cell phone,cloth,coffee machine,coffee table,counter top,credit card,cup,desk,desk lamp,dining table,dish sponge,drawer,dresser,egg,faucet,floor lamp,fork,fridge,garbage can,glassbottle,hand towel,hand towel holder,house plant,kettle,key chain,knife,ladle,laptop,laundry hamper,laundry hamper lid,lettuce,lettuce sliced,light switch,microwave,mug,newspaper,ottoman,painting hanger,pan,paper towel,paper towel roll,pen,pencil,pepper shaker,pillow,plate,plunger,pot,potato,potato sliced,remote control,safe,salt shaker,scrub brush,shelf,shower door,side table,sink,sink basin,soap bar,soap bottle,sofa,spatula,spoon,spray bottle,statue,stove burner,stove knob,t v stand,teddy bear,television,tennis racket,tissue box,toaster,toilet,toilet paper,toilet paper hanger,toilet paper roll,tomato,tomato sliced,towel,towel holder,vase,watch,watering can,wine bottle
lettuce sliced, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
light switch, 5,6,0,1,0,0,16,0,58,17,36,40,4,0,0,0,102,13,4,4,6,0,14,27,0,20,21,0,2,0,48,15,1,88,4,4,26,6,0,4,0,0,7,0,5,0,23,0,0,0,0,392,29,8,2,7,0,5,2,0,3,0,1,55,29,1,14,1,0,7,0,2,0,57,4,2,114,3,2,4,20,2,5,0,5,0,0,0,1,30,1,5,3,48,22,0,1,0,0,51,4,17,11,0,2
microwave, 1,11,0,1,0,0,0,0,12,28,134,84,12,0,0,0,380,10,11,3,23,6,7,85,0,86,20,0,3,0,152,5,9,131,3,4,162,11,0,12,0,1,62,0,43,2,20,0,0,4,0,29,816,39,5,4,0,52,22,1,8,4,4,22,86,0,106,0,0,2,0,8,0,162,0,3,235,3,0,2,16,12,31,1,3,4,0,0,3,22,0,2,82,6,0,0,0,5,0,130,4,54,14,0,12
mug, 1,17,0,0,0,0,0,0,26,68,177,78,83,0,10,0,75,27,3,24,30,6,11,25,0,516,180,5,5,0,29,4,32,33,1,134,20,2,0,0,0,0,18,2,140,4,113,0,0,20,0,8,39,932,20,4,0,21,3,0,57,9,8,34,380,1,77,5,0,10,0,13,0,107,0,8,68,1,1,2,18,10,147,1,7,0,0,0,9,22,0,3,17,4,4,0,0,34,0,48,1,50,31,3,4
newspaper, 0,3,0,1,0,0,1,0,10,23,39,30,8,0,2,0,12,4,4,15,8,0,10,0,0,47,23,0,2,0,3,4,5,5,0,18,6,2,0,0,0,0,3,0,19,0,25,0,0,7,0,2,5,20,332,2,0,2,0,0,5,1,3,22,48,0,17,4,0,5,0,3,0,28,0,0,7,0,0,0,13,0,15,1,2,0,0,0,1,7,1,2,1,18,2,0,0,6,0,10,0,12,10,1,3
ottoman, 1,0,0,6,0,0,1,0,29,27,16,16,1,0,0,0,21,15,0,1,7,0,35,2,0,15,18,1,2,0,2,6,1,1,8,0,2,0,0,1,0,2,0,0,0,0,13,0,0,0,0,7,4,4,2,214,0,0,0,0,1,0,0,91,3,0,10,0,0,9,0,0,0,39,0,6,3,1,0,0,72,0,1,0,4,0,0,0,1,59,0,1,0,3,0,0,0,0,0,3,0,27,2,0,1
painting hanger, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pan, 1,14,0,0,0,0,2,0,4,11,224,65,56,0,6,0,95,18,9,9,47,0,0,40,0,94,5,0,2,0,51,2,15,41,0,88,33,4,0,1,0,0,54,0,103,21,5,0,0,16,0,5,52,21,2,0,0,915,10,0,10,0,5,3,278,0,227,11,0,0,0,9,0,109,0,1,66,1,0,0,2,90,105,1,3,4,2,0,5,4,0,0,14,8,1,0,0,54,0,78,1,10,32,0,6
paper towel, 0,3,0,0,0,0,0,0,1,1,25,23,5,0,1,0,33,0,0,1,6,0,0,14,0,19,2,0,3,1,15,0,2,26,1,11,16,0,0,1,0,0,4,0,15,1,1,0,0,4,0,2,22,3,0,0,0,10,150,1,3,0,0,0,31,0,17,3,0,0,0,0,0,14,1,0,45,0,0,1,1,3,9,0,1,1,0,0,0,1,0,2,5,12,7,0,0,7,0,29,4,4,7,0,2
paper towel roll, 0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pen, 4,11,0,0,2,0,0,0,25,115,41,84,9,0,0,0,30,7,3,44,24,0,6,5,1,124,246,8,0,0,29,2,3,6,0,13,4,4,0,0,0,1,4,6,19,2,184,0,0,4,0,3,8,57,5,1,0,10,3,0,1094,40,1,24,46,0,24,0,0,11,0,1,1,56,1,3,5,0,0,0,10,2,20,1,4,0,0,0,4,7,2,4,1,0,0,0,0,5,0,10,0,18,48,0,5
pencil, 0,1,0,0,0,0,1,0,1,18,6,15,2,0,0,0,6,1,0,5,5,0,0,1,0,30,49,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,37,0,0,0,0,0,4,9,1,0,0,0,0,0,40,121,0,2,8,0,6,1,0,0,0,0,0,13,0,0,1,1,0,0,1,0,3,1,2,1,0,0,3,3,0,1,1,1,0,0,0,1,0,2,0,5,4,0,0
pepper shaker, 0,2,0,0,0,0,0,0,0,5,27,7,14,0,4,0,5,5,0,5,4,1,0,6,0,39,1,0,2,0,5,0,6,4,0,41,2,1,0,0,0,0,2,0,29,0,2,0,0,2,0,1,4,8,3,0,0,5,0,0,1,0,121,2,85,0,5,5,0,0,0,91,0,3,0,0,4,0,0,0,0,2,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,3,0,11,5,0,1
pillow, 55,10,0,13,0,0,11,0,1457,297,117,169,8,0,1,0,168,88,7,39,109,1,224,10,0,113,213,12,7,0,172,157,0,17,45,8,18,12,0,1,0,2,7,1,21,1,235,1,0,2,0,55,22,34,22,91,0,3,0,0,24,2,2,2808,100,0,94,0,0,88,1,4,0,306,1,78,36,0,0,1,494,0,11,1,40,0,0,0,101,197,1,12,4,14,7,0,0,1,0,94,1,250,57,3,4
plate, 2,127,0,2,101,0,7,0,60,118,1465,369,969,0,80,0,205,255,27,97,350,1,26,95,3,1365,89,1,30,0,83,14,253,89,3,1719,65,16,0,1,0,2,59,1,1209,20,84,0,0,438,0,29,86,380,48,3,0,278,31,1,46,8,85,100,8066,1,252,138,0,12,3,126,1,265,1,7,146,3,0,2,49,109,916,3,36,3,0,0,22,46,1,6,31,38,11,0,0,524,0,139,4,264,210,3,62
plunger, 0,0,0,0,0,0,6,0,0,2,12,7,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,76,2,0,0,0,0,0,1,11,2,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,72,22,0,0,0,0,19,0,0,2,0,0
pot, 1,22,0,2,0,0,11,0,42,76,371,168,49,0,3,0,268,45,32,21,85,1,40,67,0,183,71,0,14,0,122,15,10,114,9,47,81,12,0,11,0,4,104,0,72,20,68,0,0,13,0,14,106,77,17,10,0,227,17,1,24,6,5,94,252,2,2030,5,0,8,0,10,1,293,4,4,192,2,1,1,66,35,133,3,47,5,1,0,19,57,2,4,42,44,13,0,0,15,0,149,3,286,45,8,9
potato, 0,18,0,0,0,0,0,0,0,3,51,13,34,0,5,0,1,5,1,0,13,0,0,7,0,28,2,0,0,0,2,0,14,0,0,58,0,1,0,1,0,0,0,0,45,2,0,0,0,19,0,1,0,5,4,0,0,11,3,0,0,1,5,0,138,0,5,229,0,0,0,4,0,3,0,0,1,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,10,0,2,0,0,0
potato sliced, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remote control, 7,1,0,1,0,0,1,0,55,34,13,42,1,0,0,0,17,13,1,17,5,0,42,2,0,31,51,8,0,0,15,8,0,2,10,3,1,1,0,0,0,1,0,0,2,0,45,0,0,1,0,7,2,10,5,9,0,0,0,0,11,0,0,88,12,0,8,0,0,362,0,1,0,37,0,6,3,0,0,0,65,0,3,2,1,0,0,0,7,51,0,3,0,3,1,0,0,0,0,6,0,16,21,0,1
safe, 0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,9,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
salt shaker, 0,4,0,0,0,0,0,0,0,6,57,9,29,0,6,0,7,11,0,6,10,1,0,10,0,57,2,0,6,0,6,0,12,7,0,59,6,1,0,0,0,0,1,0,45,1,6,0,0,4,0,2,8,13,3,0,0,9,0,0,1,0,91,4,126,0,10,4,0,1,0,196,0,13,0,0,8,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,9,0,19,7,0,3
scrub brush, 0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,23,4,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,2,0,0,0,0,0
shelf, 17,48,0,3,2,0,85,0,216,430,351,495,56,0,2,0,499,93,59,43,109,4,92,77,1,295,376,10,10,0,259,67,14,348,29,30,201,25,0,24,0,4,54,2,61,6,257,0,0,10,0,57,162,107,28,39,0,109,14,1,56,13,3,306,265,11,293,3,0,37,2,13,4,3479,13,25,518,8,2,5,172,23,46,6,69,1,0,0,72,278,3,28,43,316,132,0,5,12,0,345,10,308,76,7,26
shower door, 0,0,0,0,0,0,27,0,1,1,4,4,0,0,0,0,19,2,0,0,3,0,0,5,1,4,0,0,0,0,10,1,0,41,0,0,0,3,0,7,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1,1,2,4,0,0,0,0,0,0,13,94,1,54,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,61,15,0,2,0,0,57,5,4,0,1,0
side table, 6,0,0,2,0,0,1,0,64,21,10,17,3,0,0,0,14,10,0,0,5,0,27,0,0,9,11,1,2,0,11,11,0,2,9,2,2,1,0,0,0,0,0,0,3,0,12,0,0,0,0,2,3,8,0,6,0,1,0,0,3,0,0,78,7,0,4,0,0,6,0,0,0,25,1,151,1,0,0,0,37,0,1,0,3,0,0,0,2,16,0,0,0,1,1,0,0,1,0,3,0,19,2,1,0
sink, 1,20,0,1,0,0,313,0,48,30,369,238,24,0,1,0,792,56,14,9,65,7,3,236,1,255,24,0,7,2,293,10,0,1548,0,10,154,55,0,53,0,2,74,0,65,5,16,0,0,13,0,114,235,68,7,3,0,66,45,4,5,1,4,36,146,28,192,1,0,3,2,8,10,518,54,1,2757,27,8,26,14,14,41,12,17,2,0,0,2,31,1,60,75,1006,334,0,17,4,0,852,43,131,21,3,9
sink basin, 0,0,0,0,0,0,9,0,1,0,2,2,0,0,0,0,11,1,0,0,0,0,0,7,0,5,1,0,1,0,6,0,0,19,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,1,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,8,1,0,27,31,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,11,2,0,1,0,0,6,0,1,0,0,0
soap bar, 0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,8,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,3,0,0,0,0,0
soap bottle, 0,0,0,0,0,0,3,0,0,0,6,4,1,0,0,0,13,2,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,21,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,5,1,0,26,1,1,34,0,0,1,0,2,0,0,0,0,0,0,1,0,10,3,0,1,0,0,14,2,3,1,0,0
sofa, 3,4,0,9,0,0,0,0,77,121,64,89,3,0,0,0,109,52,4,18,43,0,217,6,0,66,69,4,9,0,29,35,1,8,32,8,5,5,0,0,0,1,3,0,7,1,124,0,0,1,0,20,16,18,13,72,0,2,1,0,10,1,0,494,49,0,66,0,0,65,0,0,0,172,0,37,14,0,0,0,1106,2,10,0,23,0,0,0,11,185,0,2,3,3,0,0,0,2,0,17,1,143,33,0,4
spatula, 0,3,0,0,0,0,0,0,1,6,61,21,11,0,3,0,23,3,0,2,19,0,0,16,0,39,3,0,0,0,12,0,3,5,0,34,8,0,0,0,0,1,9,0,49,6,4,0,0,2,0,2,12,10,0,0,0,90,3,0,2,0,2,0,109,0,35,0,0,0,0,6,0,23,0,0,14,0,0,0,2,255,38,0,1,1,0,0,2,2,1,0,6,0,0,0,0,19,0,19,1,5,9,0,1
spoon, 0,31,0,0,0,0,1,0,2,30,676,71,203,0,27,0,55,60,3,26,83,3,2,35,0,428,16,1,10,0,26,1,49,23,1,404,12,4,0,1,0,0,23,0,324,33,25,0,0,84,0,5,31,147,15,1,0,105,9,1,20,3,24,11,916,1,133,32,0,3,0,34,1,46,0,1,41,0,0,1,10,38,1456,1,1,2,1,0,8,5,1,0,9,3,0,0,0,100,0,49,0,47,48,1,14
spray bottle, 0,1,0,0,0,0,0,0,1,2,5,5,0,0,0,0,9,0,0,0,1,0,2,3,0,6,5,0,0,0,2,0,0,9,0,1,2,1,0,0,0,0,4,1,1,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,3,0,3,0,0,2,0,0,0,6,0,0,12,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,3,6,2,0,1,0,0,8,0,0,1,1,0
statue, 0,0,0,3,5,0,7,0,25,33,32,44,3,0,0,0,32,24,18,11,17,0,9,5,0,16,28,0,0,0,11,12,2,10,5,2,4,7,0,0,0,0,4,0,4,0,7,0,0,1,0,5,3,7,2,4,0,3,1,0,4,2,0,40,36,0,47,0,0,1,0,0,0,69,1,3,17,0,0,2,23,1,1,0,1206,0,0,0,18,25,1,2,0,15,4,0,1,2,0,17,0,78,23,0,2
stove burner, 0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,4,1,0,0,1,0,0,3,0,5,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
stove knob, 0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
t v stand, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teddy bear, 4,3,0,1,0,0,2,0,114,51,18,67,3,0,0,0,16,8,9,2,39,0,1,1,0,33,28,0,1,0,16,14,1,2,0,5,1,5,0,1,0,0,2,3,5,1,13,0,0,0,0,1,3,9,1,1,0,5,0,0,4,3,0,101,22,0,19,0,0,7,0,0,0,72,0,2,2,0,0,0,11,2,8,0,18,0,0,0,884,11,0,0,0,0,1,0,0,0,0,18,0,9,13,0,1
television, 2,3,0,11,1,0,6,0,118,132,59,129,2,0,1,0,176,39,9,13,32,0,127,7,0,68,134,6,10,0,73,60,0,17,30,8,10,2,0,2,0,3,5,0,8,0,97,0,0,1,0,30,22,22,7,59,0,4,1,0,7,3,1,197,46,0,57,0,0,51,0,0,0,278,1,16,31,0,0,0,185,2,5,0,25,0,0,0,11,1149,2,3,5,7,2,0,0,2,0,28,1,93,15,0,4
tennis racket, 0,1,0,0,0,0,0,0,4,1,1,19,0,0,0,0,0,0,6,6,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,1303,0,0,1,0,0,0,0,0,30,0,3,61,0,0
tissue box, 1,0,0,0,0,0,12,0,13,7,10,53,1,0,0,0,12,7,1,3,5,0,0,8,0,20,17,1,0,0,5,5,0,42,0,0,1,4,0,3,0,0,0,0,2,0,12,0,0,1,0,5,2,3,2,1,0,0,2,0,4,1,0,12,6,2,4,0,0,3,0,0,0,28,5,0,60,2,1,1,2,0,0,0,2,0,0,0,0,3,0,123,1,43,24,0,0,0,0,45,4,4,3,0,0
toaster, 0,7,0,0,0,0,0,0,2,3,34,30,7,0,0,0,77,4,2,2,1,2,1,31,0,34,3,0,2,0,27,2,1,34,0,1,38,5,0,4,0,2,28,0,10,0,9,0,0,2,0,3,82,17,1,0,0,14,5,1,1,1,0,4,31,0,42,0,0,0,0,1,1,43,0,0,75,0,0,0,3,6,9,3,0,1,0,0,0,5,0,1,209,0,1,0,0,3,0,42,0,8,3,3,3
toilet, 0,4,0,0,0,0,315,0,24,26,363,198,0,0,0,0,272,38,8,2,38,0,0,57,0,84,9,0,0,0,76,10,0,639,0,1,4,66,0,27,0,0,0,0,2,0,8,0,0,0,0,48,6,4,18,3,0,8,12,0,0,1,0,14,38,72,44,0,0,3,1,0,6,316,61,1,1006,11,3,10,3,0,3,6,15,0,0,0,0,7,1,43,0,2227,563,0,27,0,0,556,29,47,14,2,0
toilet paper, 0,0,0,0,0,0,91,0,6,4,85,67,1,0,0,0,86,16,4,2,11,0,0,22,0,40,2,1,0,0,31,3,0,209,0,0,0,31,0,12,0,0,0,0,3,0,5,0,0,0,0,22,0,4,2,0,0,1,7,0,0,0,0,7,11,22,13,0,0,1,0,0,3,132,15,1,334,2,1,3,0,0,0,2,4,0,0,0,1,2,0,24,1,563,646,0,10,0,0,213,8,15,2,0,0
toilet paper hanger, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toilet paper roll, 0,0,0,0,0,0,4,0,0,1,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,17,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,27,10,0,28,0,0,6,2,0,0,0,0
tomato, 0,24,0,0,0,0,0,0,1,11,194,74,237,0,10,0,6,9,0,8,43,0,0,8,0,133,2,0,2,0,4,1,56,3,0,184,1,1,0,0,0,0,3,0,131,1,6,0,0,220,0,0,5,34,6,0,0,54,7,0,5,1,9,1,524,0,15,31,0,0,0,12,0,12,0,1,4,0,0,0,2,19,100,0,2,0,0,0,0,2,0,0,3,0,0,0,0,890,0,15,0,8,11,0,3
tomato sliced, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
towel, 2,19,0,0,2,0,241,0,120,52,244,187,29,0,1,0,395,51,13,17,139,1,4,98,0,156,34,0,3,0,197,20,5,568,0,25,86,37,0,57,0,0,64,0,78,4,37,0,0,15,0,51,130,48,10,3,0,78,29,0,10,2,3,94,139,19,149,10,0,6,0,9,2,345,57,3,852,6,3,14,17,19,49,8,17,2,1,0,18,28,30,45,42,556,213,0,6,15,0,2151,30,90,37,2,7
towel holder, 0,0,0,0,0,0,11,0,0,0,6,2,0,0,0,0,20,1,0,1,1,0,0,5,0,5,0,0,0,1,8,1,0,32,0,0,2,2,0,5,0,0,1,0,1,0,0,0,0,0,0,4,4,1,0,0,0,1,4,0,0,0,0,1,4,0,3,0,0,0,0,0,0,10,5,0,43,0,0,2,1,1,0,0,0,0,0,0,0,1,0,4,0,29,8,0,2,0,0,30,59,2,0,0,0
vase, 4,19,0,3,1,0,19,0,86,126,241,110,30,0,5,0,205,132,10,10,91,1,104,45,0,168,94,2,19,0,90,42,9,99,18,60,39,8,0,1,0,2,27,1,51,0,58,0,0,7,0,17,54,50,12,27,0,10,4,0,18,5,11,250,264,0,286,2,0,16,0,19,0,308,4,19,131,1,0,3,143,5,47,0,78,0,0,0,9,93,3,4,8,47,15,0,0,8,0,90,2,2055,21,4,13
watch, 1,7,0,0,6,0,2,0,39,56,91,95,33,0,4,0,42,37,19,108,48,0,10,12,1,157,69,1,4,0,19,4,4,15,6,80,11,11,0,2,0,1,4,3,94,2,90,0,0,7,0,11,14,31,10,2,0,32,7,0,48,4,5,57,210,2,45,0,0,21,0,7,0,76,0,2,21,0,0,1,33,9,48,1,23,0,0,0,13,15,61,3,3,14,2,0,0,11,0,37,0,21,2202,0,9
watering can, 0,1,0,0,0,0,0,0,1,1,4,5,0,0,0,0,4,1,1,0,0,0,0,2,0,6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,7,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,4,0,23,1
wine bottle, 0,0,0,0,0,0,1,0,4,6,34,11,11,0,1,0,25,10,0,1,9,0,0,10,0,25,7,0,1,0,12,1,3,5,0,24,16,0,0,1,0,2,4,0,26,0,6,0,0,2,0,2,12,4,3,1,0,6,2,0,5,0,1,4,62,0,9,0,0,1,0,3,0,26,0,0,9,0,0,0,4,1,14,0,2,0,0,0,1,4,0,0,3,0,0,0,0,3,0,7,0,13,9,1,209
